case_number,ifc_project_number,country,sector,complaint_date,status,case_url,docs_available,docs_downloaded
Cambodia: HTB Sub Debt-16,44742,Cambodia,Financial Institutions,04 Jul 2025,Closed,https://www.cao-ombudsman.org/case/cambodia-htb-sub-debt-16,2,CAO_Cambodia_HTB_Sub_Debt_16_Assessment_Report.pdf
Serbia: Morava Corridor Motorway-05,14629,Serbia,Infrastructure,12 Feb 2025,Closed,https://www.cao-ombudsman.org/case/serbia-morava-corridor-motorway-05,4,CAO_Serbia_Morava_Corridor_Motorway_05_Assessment_Report.pdf;CAO_Serbia_Morava_Corridor_Motorway_05_Compliance_Appraisal_Report.pdf
